p0,p1,p2,p3,p4,objective,elapsed_sec
4,7953601,60307,40453, -Dqueueless=on ,-2551.01,6549.044666290283
4,6541892,75097,90221, -Dqueueless=on ,-2456.34,6567.374430894852
4,6766661,71715,84384, -Dqueueless=on ,-2613.92,6586.108158349991
4,7957797,59840,82894, -Dqueueless=on ,-2696.23,6602.599012136459
4,7724844,76579,88168, -Dqueueless=on ,-2843.47,6621.526663303375
4,7959370,75106,80463, -Dqueueless=on ,-2386.88,6642.661002874374
4,7951620,70983,84509, -Dqueueless=on ,-2600.0,6658.699267864227
4,6726791,74966,79648, -Dqueueless=on ,-3208.93,6677.048886299133
4,5949384,73011,83572, -Dqueueless=on ,-2488.79,6690.761609315872
4,7922509,71650,88843, -Dqueueless=on ,-2461.91,6707.785808563232
4,7386911,87076,88739, -Dqueueless=on ,-2620.14,6727.79332947731
4,6276890,70667,78203, -Dqueueless=on ,-2792.22,6747.14476108551
4,6493546,71295,78361, -Dqueueless=on ,-2313.32,6763.904422044754
4,6621928,72745,79543, -Dqueueless=on ,-2501.85,6784.778935909271
4,6793600,74980,77583, -Dqueueless=on ,-2763.63,6801.390487909317
4,7988127,64077,79435, -Dqueueless=on ,-2823.92,6827.641741037369
4,5971290,74066,87135, -Dqueueless=on ,-3080.23,6849.17490530014
4,6379131,76692,88870, -Dqueueless=on ,-2970.83,6867.916575670242
4,7245260,70890,79032, -Dqueueless=on ,-2914.01,6885.369287014008
4,7948463,62350,85818, -Dqueueless=on ,-2553.66,6912.379655122757
